iter	Passed	Remaining
0	574	574214
1	983	490708
2	1443	479777
3	1845	459482
4	2211	440099
5	2655	439971
6	3051	432900
7	3428	425109
8	3960	436047
9	4433	438914
10	4913	441735
11	5325	438478
12	5754	436892
13	6175	434933
14	6579	432050
15	6984	429527
16	7262	419947
17	7708	420562
18	8180	422372
19	8597	421258
20	9054	422097
21	9523	423384
22	9804	416482
23	10225	415846224	10596	413262
25	11033	413337
26	11335	408509227	11777	408830228	12248	410107229	12633	408472
30	13119	410084
31	13505	408536
32	13946	408680
33	14421	409731
34	14866	409876
35	15265	408764
36	15662	407636
37	16134	408466
38	16528	407286
39	17025	408615
40	17498	409303
41	17896	408208
42	18295	407182
43	18775	407939
44	19179	407041
45	19605	406595
46	20047	406491
47	20440	405399
48	20855	404775
49	21326	405202
50	21688	403571
51	22126	403386
52	22287	398224553	22688	397467554	23166	398047555	23608	397963556	24063	398097557	24486	397691558	24859	396480559	25314	396597660	25468	39204661	26028	393782
662	26238	390247663	26649	389756664	27033	38887165	27427	388133
66	27959	389346
67	28433	389711
68	28875	389615
69	29305	389340
70	29712	388778
71	30211	389392
72	30622	388867
773	30789	385287774	31082	383347775	31588	384046776	32033	383984777	32473	383849778	32930	383908779	33434	384500880	33861	384182881	34264	383598882	34737	383787883	35202	383872884	35634	383589885	36134	384030886	36549	383564887	36972	383168888	37384	382662889	37801	382216990	38182	381408991	38595	38092292	38923	379607
93	39354	379311
94	39771	378877
95	40219	378729
96	40753	379381
97	41200	379214
98	41581	378437
99	42116	379048
100	42667	379780
101	43072	379209
102	43566	379410
103	43983	378930
104	44394	378409
105	44919	378846
106	45327	378293
107	45726	377666
108	46126	377056
109	46496	376202
110	46951	376036
111	47576	377211
112	47983	376646
113	48372	375949
114	48779	375393
115	49251	375326
116	49592	374277
117	50128	374686
118	50558	374304
119	50960	373708
120	51414	373497
121	51938	373784
122	52389	373543
123	52771	372806
124	53186	372308
125	53682	372369
126	54118	372013
127	54640	372238
128	55056	371738
129	55421	370899
130	55810	370224
131	56239	369816
132	56644	369255
133	57177	369517
134	57594	369034
135	58102	369122
136	58537	368745
137	58987	368458
138	59439	368181
139	59896	367936
140	60325	367515
141	60656	366503
142	61055	365904
143	61604	366204
144	62044	365850
145	62522	365712
146	62931	365174
147	63434	365174
148	63778	364267
149	64283	364271
150	64693	363737
151	65021	362748
152	65423	362179
153	65843	361711
154	66284	361358
155	66659	360646
156	67077	360168
157	67480	359610
158	67881	359046
159	68377	358984
160	68842	358751
161	69256	358255
162	69690	357859
163	70142	357555
164	70582	357191
165	71045	356940
166	71502	356657
167	71969	356421
168	72479	356393
169	72830	355582
170	73228	355006
171	73673	354659
172	74117	354307
173	74497	353650
174	74930	353244
175	75348	352766
176	75797	352437
177	76201	351898
178	76640	351517
179	77124	351343
180	77530	350814
181	77936	350288
182	78337	349734
183	78787	349405
184	79231	349048
185	79604	348378
186	80085	348180
187	80471	347569
188	80911	347193
189	81325	346701
190	81716	346116
191	82209	345966
192	82570	345257
193	82984	344768
194	83393	344265
195	83836	343899
196	84224	343311
197	84643	342850
198	85093	342510
199	85523	342092
200	85938	341617
201	86393	341296
202	86785	340729
203	87195	340231
204	87621	339799
205	88140	339725
206	88500	339037
207	88887	338457
208	89332	338094
209	89828	337928
210	90270	337550
211	90721	337210
212	91127	336700
213	91437	335840
214	91878	335463
215	92292	334986
216	92762	334714
217	93216	334381
218	93623	333879
219	94008	333301
220	94431	332860
221	94881	332514
222	95287	332009
223	95750	331707
224	96159	331217
225	96457	330346
226	96924	330057
227	97285	329405
228	97722	329013
229	98196	328743
230	98639	328371
231	98968	327619
232	99334	326993
233	99744	326515
234	100175	326102
235	100556	325528
236	101123	325557
237	101573	325207
238	102116	325149
239	102494	324564
240	102946	324218
241	103297	323550
242	103680	322987
243	104083	322488
244	104495	322016
245	104891	321495
246	105267	320916
247	105686	320468
248	106129	320093
249	106639	319918
250	106998	319291
251	107353	318652
252	107803	318297
253	108253	317942
254	108763	317760
255	109216	317409
256	109600	316860
257	110029	316440
258	110475	316070
259	110923	315706
260	111301	315141
261	111783	314870
262	112131	314222
263	112597	313907
264	113030	313498
265	113470	313111
266	113867	312602
267	114294	312177
268	114780	311914
269	115204	311478
270	115578	310909
271	116039	310575
272	116522	310299
273	116946	309866
274	117531	309856
275	118021	309593
276	118382	308989
277	118721	308334
278	119170	307965
279	119450	307159
280	119840	306638
281	120285	306258
282	120724	305864
283	121139	305408
284	121550	304941
285	121901	304328
286	122406	304097
287	122879	303786
288	123289	303316
289	123757	302993
290	124233	302686
291	124644	302220
292	125081	301817
293	125483	301329
294	125863	300793
295	126314	300423
296	126756	300032
297	127148	299524
298	127542	299021
299	128093	298883
300	128499	298409
301	128912	297950
302	129318	297475
303	129709	296965
304	130162	296598
305	130610	296220
306	130996	295703
307	131408	295242
308	131833	294811
309	132258	294381
310	132665	293910
311	133112	293529
312	133487	292990
313	133979	292706
314	134331	292117
315	134785	291751
316	135164	291221
317	135618	290855
318	136059	290459
319	136487	290035
320	136921	289625
321	137313	289125
322	137770	288763
323	138178	288298
324	138600	287863
325	139078	287543
326	139519	287146
327	139974	286776
328	140339	286225
329	140808	285884
330	141222	285430
331	141619	284945
332	142079	284586
333	142531	284208
334	142862	283592
335	143291	283170
336	143674	282659
337	144102	282235
338	144643	282032
339	145130	281723
340	145518	281222
341	145940	280785
342	146348	280324
343	146799	279942
344	147190	279448
345	147691	279162
346	148109	278719
347	148515	278253
348	148987	277911
349	149389	277438
350	149881	277132
351	150374	276824
352	150781	276360
353	151137	275804
354	151577	275401
355	151988	274945
356	152317	274341
357	152770	273963
358	153190	273523
359	153568	273010
360	154049	272679
361	154495	272287
362	154914	271846
363	155345	271427
364	155806	271061
365	156233	270633
366	156672	270228
367	157150	269889
368	157553	269419
369	157913	268880
370	158401	268556
371	158849	268165
372	159298	267775
373	159747	267384
374	160178	266964
375	160663	266632
376	161056	266149
377	161503	265754
378	161913	265298
379	162279	264772
380	162637	264233
381	163075	263823
382	163488	263374
383	163918	262952
384	164334	262507
385	164781	262113
386	165205	261682
387	165655	261291
388	165993	260725
389	166486	260402
390	166851	259879
391	167288	259467
392	167720	259048
393	168213	258723
394	168639	258295
395	169046	257838
396	169472	257411
397	169887	256965
398	170334	256568
399	170719	256078
400	171135	255635
401	171580	255236
402	171992	254788
403	172469	254434
404	172895	254007
405	173282	253521
406	173721	253112
407	174256	252843
408	174635	252345
409	174998	251826
410	175426	251401
411	175959	251126
412	176377	250687
413	176807	250263
414	177266	249881
415	177679	249434
416	178117	249022
417	178531	248576
418	178945	248132
419	179355	247681
420	179758	247220
421	180191	246802
422	180714	246507
423	181179	246129
424	181727	245866
425	182155	245439
426	182559	244980
427	183023	244601
428	183484	244218
429	183916	243796
430	184366	243398
431	184806	242986
432	185276	242613
433	185707	242189
434	186092	241705
435	186574	241348
436	187150	241111
437	187585	240691
438	188107	240382
439	188623	240066
440	189323	239981
441	189824	239642
442	190167	239104
443	190621	238706
444	191124	238369
445	191481	237849
446	191920	237432
447	192380	237040
448	192885	236703
449	193280	236231
450	193734	235832
451	194168	235408
452	194530	234896
453	194958	234465
454	195325	233960
455	195749	233525
456	196188	233108
457	196611	232671
458	197138	232356
459	197621	231990
460	198055	231566
461	198464	231112
462	198858	230641
463	199268	230189
464	199729	229796
465	200191	229403
466	200643	228999
467	201065	228561
468	201442	228072
469	201890	227664
470	202367	227288
471	202783	226842
472	203184	226380
473	203594	225930
474	204097	225581
475	204527	225152
476	204999	224768
477	205433	224343
478	205789	223833
479	206267	223456
480	206859	223202
481	207261	222741
482	207647	222264
483	208097	221856
484	208535	221434
485	209049	221093
486	209523	220709
487	209947	220273
488	210415	219881
489	210958	219569
490	211333	219081
491	211703	218588
492	212147	218171
493	212553	217716
494	213055	217359
495	213544	216989
496	213986	216570
497	214457	216180
498	214825	215686
499	215226	215226
500	215734	214873
501	216170	214447
502	216667	214082
503	217140	213694
504	217643	213333
505	218104	212932
506	218563	212528
507	218975	212078
508	219371	211613
509	219902	211279
510	220502	211008
511	220926	210570
512	221335	210117
513	221800	209718
514	222210	209266
515	222656	208848
516	223148	208473
517	223563	208026
518	224113	207704
519	224561	207287
520	224962	206827
521	225393	206394
522	225843	205980
523	226278	205551
524	226766	205169
525	227417	204935
526	227743	204407
527	228223	204017
528	228663	203592
529	229095	203159
530	229554	202751
531	229986	202319
532	230395	201866
533	230898	201495
534	231349	201079
535	231791	200655
536	232211	200212
537	232646	199781
538	232967	199254
539	233359	198787
540	233697	198276
541	233984	197721
542	234105	197028
543	234220	196332
544	234332	195635
4431	186614
546	224916	186265
547	225299	185831
548	225771	185470
549	226206	185077
550	226609	184660
551	227052	184274
552	227415	183824
553	227877	183454
554	228336	183080
555	228787	182700
556	229202	182291
557	229651	181910
558	230060	181496
559	230502	181109
560	230917	180699
561	231343	180299
562	231816	179935
29401	1773385564	229819	1769405565	230120	1764525566	230595	1760985567	230970	1756675568	231430	1753015569	231886	1749315570	232218	1744685571	232545	174002
572	232871	173536573	232664	172674
574	232964	172190
575	233175	171642
576	233392	171100
577	233654	170592
578	233874	170053
